coverage	36
springsteen	4
sandoz	4
board-room	32
eastman	6
enter	32
procedure	36
blowing	32
competition	46
sinai	4
t-word	4
entangled	32
clines	12
seasonally	34
firing	32
legal-trade	32
disruptive	32
wagner	12
soften	32
ex-grenfell	4
cementing	32
threats	32
sleepers	32
bulgarian	4
him	96
citing	42
phelps-stokes	4
oglesby	12
dieter	4
showman	32
half-hour	32
deliveries	32
monetary	110
counters	32
hill	12
exceed	32
miscreants	32
poisoning	32
neutral	32
allocated	32
angry	32
registers	32
chose	32
cardinal	4
also	110
magnin	12
vernacular	32
rebound	32
penicillin	32
behave	36
restrained	32
diver	36
journalists	34
pops	32
x-ray	4
mansion	32
overhauling	32
merely	32
julian	2
veer	32
fueled	36
affordable	32
amos-lee	4
longstanding	32
two-part	32
warrants	36
text	32
aetna	10
recollections	32
entirely	32
washing	32
mathematical	32
improvement	32
reexamined	32
therefore	34
month	38
mover	32
agreement	36
shoppers	32
arabian	4
cyclical	32
creepers	32
solicitation	32
sculptures	32
troupe	36
break-even	32
expressively	32
indications	34
kremlin	4
czech	4
darts	4
worksheets	32
secondary	40
diplomat	32
prescriptions	32
cream	32
devote	32
repertoire	32
berton	4
waiting	32
sculptured	32
energy-related	32
amplify	32
apologetic	32
indelible	32
piggyback	32
dwarfism	32
respectively	32
ahp	12
bis	4
wkr	8
bit	32
blew	32
pgulf	8
property-casualty	32
banded	32
interviewed	32
expatriate	32
branches	32
superintendent	32
stinginess	32
bid	36
big	46
enigmatic	32
attacked	32
corporate	110
southeastern	4
one-fourth	32
jacobs	4
entertaining	32
sbo	12
sharpest	32
sbc	4
pest-resistant	32
beating	32
berkowitz	4
serious	36
skepticism	32
shelf	32
revisions	32
kravis	4
ellsworth	4
intimidate	32
pearson	6
swarming	32
bureaucracy	32
pmi	8
final	34
speculative	32
violence	36
chocolates	44
purists	2
shapiro	12
distillates	32
saatchi	6
temptation	32
immigration	36
drooping	32
walk	32
publishers	6
waxing	32
assembles	32
reimbursed	32
peculiar	32
butter	32
anywhere	32
hoots	32
cavalier	4
banxquote	4
turkish	4
buried	34
contributed	32
intermittent	32
omniscient	32
appalled	32
moved	32
electromagnetism	32
fancy	32
sorts	36
uncertainty	32
front	36
mcneill	4
plainly	32
firmly	32
relations	38
plasma	32
enduring	32
sayer	4
stumbling	32
exit	36
non-refundable	32
regan	12
refrigerators	32
pieter	4
recipes	32
doubtful	32
sue	36
undercut	32
patent	44
liberalization	32
alvin	4
progress	38
brothers	36
leaves	36
revert	32
lover	34
handmade	32
deceiving	32
kessler	12
ropak	6
baytown	4
attacks	32
juncture	4
martha	4
questioning	32
loved	32
wiedemann	8
acquire	36
falsified	32
corrigan	4
romanticized	32
stealing	32
intel	12
recruited	32
calculating	32
berger	4
quantify	32
gifts	32
exuding	32
bigger	32
evaluate	32
distributor	32
restraining	34
highlights	40
madness	32
budget/tax	32
popularizing	32
leningrad	6
bread-and-butter	32
groups	36
leaders	34
amadou-mahtar	2
non-profit	32
ivan	4
wicklow	4
logo	32
devoting	32
teach	32
luis	4
bigger-than-expected	32
credentials	32
conglomerate	32
talmudic	4
banning	2
steelmaker	40
ingratiate	32
anguish	32
handelman	4
clymer	8
acid-rain	96
your	42
concluded	32
atco	8
calmly	32
pleads	32
restart	32
swimming	32
boyish	32
batchelder	12
japan-style	4
westport	4
nominate	32
perverse	32
petrochemicals	32
sunday	4
trafficking	32
epidemic	32
curtailed	32
rosenbaum	4
exist	32
submarine	32
stepping	32
lighthearted	32
then-standard	32
backwater	32
religion	32
plow	32
colman	4
nuclei	32
plot	32
full-hearted	32
visit	38
oriented	32
abilities	32
defeated	32
ddb	6
horse	32
halts	32
mistakes	32
descended	32
requesting	32
bain	14
reserved	32
carolina	4
allocates	32
speeches	32
horst	4
ollmann	4
russia	4
basket	32
wordperfect	4
seating	32
unrealized	32
mistaken	32
thoroughly	32
mdest	12
oldest	32
mich.	4
telephone-utility	32
depot	4
methodically	32
talcs	32
d.c.	4
jason	2
implicate	32
models	36
sorely	32
barbecue	38
triton	14
bias	32
subatomic	32
modell	12
window	32
self-indulgent	32
adelman	4
complicate	32
favorite	32
can-sealing	32
harvest	32
boil	32
warner	12
miti	14
tax-law	32
welton	4
commodity-chip	32
student-loan	32
dearly	32
fiance	32
restricting	34
pick	32
album	32
topping	32
hussmann	4
fabulously	32
razzmatazz	32
skeptic	32
withstand	32
interfered	32
plaza	4
assertion	32
e.f.ihutton	4
diversify	32
patents	32
tack	32
poor	38
devising	32
baldness	32
commented	32
cooperated	32
personal-computer	32
necessity	32
vintage	10
entitles	32
hardymon	8
elusiveness	32
outgoing	34
complacent	32
keflex	4
adding	34
punitive	36
hoechst	4
percentage-point	32
safety	36
flannigan	4
brakes	32
collective	32
mexican	6
cours-la-reine	4
frustrated	34
anatomy	8
distributes	32
daring	32
overpaid	32
monty	4
phaseout	32
nationally	34
moonlight	4
primer	4
surfeit	32
distractions	32
billet	4
back-to-basics	32
writ	32
complying	32
telephoned	32
fence	32
hearing	40
billed	32
drabness	32
balding	32
glamorous	32
telephones	32
adapted	32
campaigner	32
rubbed	32
mandate	32
economy	100
breast	32
spectra	4
sealed	32
achievements	32
odds	32
keyboard	32
ambassador	32
keener	32
lyonnais	4
registering	32
ghetto	4
apply	32
bronx	4
sogevalor	4
hung	36
sign	44
plate	32
sigh	32
niles	8
molten	32
moves	36
free-fall	32
landmark	32
raton	4
accrediting	36
investigations	32
single-state	32
disarray	32
mccann-erickson	4
pensions	32
consumer-products	32
horns	32
bondholders	32
plugged	32
earner	32
investment	102
uni.a	12
smallest	32
ordinary	32
ffod	4
connecting	32
snack	32
iron-bending	32
norman	14
telco	14
hmos	4
repurchases	32
kilowatt-hour	32
advertise	32
outfits	32
chopin	4
choreographers	32
oliver	14
emirates	4
bestowed	32
brink	32
prize	36
assuredly	32
modification	32
campanies	32
beckoning	32
princeton	12
managing	32
rebutted	32
soaring	32
veteran	32
loudly	32
tarrytown	4
green	44
flagging	32
greek	6
intricate	32
georgia	6
unprotected	32
attain	32
impromptu	32
naive	32
francs	32
greene	4
rigid	32
requiring	32
circulatory	32
context	32
million-dollar-a-year	32
france	14
greens	36
browns	4
accent	32
pictures	36
greer	4
totals	40
cosby	12
peabody	12
sapiens	32
wafer	32
program	34
swelling	32
cohesive	32
prison	36
recycling	32
size	32
quitting	32
hot-strip	32
troika	32
