hässelby	4
konkretisterna	32
stockholmslagen	32
lövånger	4
sundqvist	4
stördes	32
kurslitteratur	32
noliamässan	4
karriären	96
överflyttningarna	32
personlighet	100
nybliven	32
fiskmånglare	32
snytingar	32
ämne	96
plumridge	8
lammull	32
partitrohet	32
ungdomar	96
fruntimmerskarl	32
neutral	32
färdigmatbutiker	32
beräknar	32
beräknas	98
förtroendeskapande	64
h-mollsonat	32
beräknat	32
sanatorier	32
otal	96
rennärings-	2
legio	32
exploaterade	32
utfärder	32
befrielsen	32
korgen	32
ledargestalt	32
släpa	96
offervilja	32
marginalskatt	32
överansträngningssymptom	32
monte	12
kanoter	32
tänkande	32
kuppdagen	32
kraftigare	32
turtaganderättigheterna	32
hill	4
kråmade	32
diplomat	32
honungen	64
koppartjur	32
skingrats	32
sidokollision	32
måndagskvällen	96
fluga	32
uppvaktar	32
föredra	32
slutits	64
bit	96
arbetsro	32
delrepublikernas	32
depression	96
tröga	32
inskränkningar	96
ullbehandling	2
nybildat	32
trävaruföretagen	32
bio	32
jacobs	2
burenstam-linder	4
sovjetledare	4
riksgränsstängsel	32
cabernet	4
avnjuter	32
avnjutes	32
iransk	32
höög	4
dramatiska	96
final	32
pallen	32
köpingsbildandet	32
månne	32
införda	32
baklängesmålen	32
övertygad	96
utskriven	32
stengolvet	32
varupriserna	32
övertygar	32
övertygas	32
moore	4
ungdomsenheten	32
övertygat	32
medlemsvärvning	32
brevbäringen	32
terrorsyfte	32
värdefull	34
evakuering	32
motorsågar	32
sunda	32
kalkningsproceduren	32
dialektal	32
forslind	8
komponentbörsen	78
forsling	12
dramatisk	96
sunds	4
flyktingläger	32
frigöras	64
förlåt	32
årjäng	2
uteslutas	32
reglementet	38
skyddande	32
erland	4
reglementen	32
violinister	64
resonemanget	32
circo	12
orchestra	4
sjungande	32
standardmålet	64
naturmässigt	32
toppfunktionärerna	32
biljetterna	32
schweizer-tyska	32
särlärorna	32
stundar	32
östhammar	4
uppenbar	96
retur	96
d_v_s	98
lördagens	96
skenande	2
gigantisk	32
befintlig	32
föregåtts	32
ljusets	32
your	32
förtjänade	32
spårgroparna	32
plastfolie	32
marstrand	14
namnbytet	32
västtyskarna	32
lönsamhetskrav	32
knapert	32
koncernfaktureringen	32
familjeärenden	32
läkarna	98
appelgren	4
kvartalet	32
glaede	32
värmas	32
köstampande	32
rökdykningar	32
renovering	32
psykoterapi	32
alternativmedicin	64
hälsoskyddslagen	32
uthålligheten	32
fotboll	98
beredskapsförberedelser	32
ivars	4
årstiden	32
koncentriska	32
trävaror	32
opinionsmätningarna	96
delarna	96
fyra-fem	32
penningpolitik	32
sammanräkningen	32
borgaren	32
tvårums	32
platschef	2
årstider	32
hjärtligheten	2
marknadsdominerande	32
avsvalning	32
statistik	96
utgörs	96
erinra	96
maktkamp	32
anknyter	32
utöka	32
inbjudit	32
stöttande	32
förädlade	96
utgöra	32
